OBJECTID,Type,SizeClass,x,y
457,1,2,6281648.5000000,1838428.1250000
458,1,2,6281616.0000000,1838411.3750000
459,1,2,6281661.0000000,1838421.2500000
460,1,2,6281623.0000000,1838424.0000000
461,1,2,6281640.0000000,1838398.8750000
462,1,2,6281455.5000000,1838553.8750000
463,1,2,6281455.5000000,1838596.3750000
464,1,2,6281640.5000000,1838417.0000000
465,1,2,6281454.0000000,1838646.6250000
466,1,2,6281649.5000000,1838407.2500000
467,1,2,6281695.5000000,1838128.3750000
468,1,2,6281742.5000000,1838091.1250000
469,1,2,6281793.5000000,1838056.8750000
470,1,2,6281845.0000000,1838030.6250000
471,1,2,6281896.5000000,1837993.8750000
472,1,2,6281953.5000000,1837941.0000000
473,1,3,6281720.0000000,1838158.1250000
474,1,2,6281722.0000000,1838111.1250000
475,1,2,6281770.0000000,1838079.1250000
476,1,3,6281894.0000000,1838038.7500000
477,1,2,6281821.5000000,1838040.1250000
478,1,2,6281867.5000000,1838008.0000000
479,1,3,6281745.5000000,1838141.3750000
480,1,3,6281769.0000000,1838123.8750000
481,1,3,6281795.0000000,1838108.5000000
482,1,2,6281915.5000000,1837972.3750000
483,1,2,6281975.5000000,1837922.1250000
484,1,3,6281821.5000000,1838089.6250000
485,1,3,6281974.0000000,1837975.2500000
486,1,3,6281920.0000000,1838023.3750000
487,1,2,6281937.0000000,1837954.2500000
488,1,3,6281844.5000000,1838074.3750000
489,1,3,6282021.0000000,1837946.6250000
490,1,2,6282068.5000000,1837845.3750000
491,1,3,6281945.0000000,1838005.8750000
492,1,3,6282000.5000000,1837956.3750000
493,1,2,6281710.5000000,1838239.3750000
494,1,2,6281748.0000000,1838214.3750000
495,1,2,6281789.5000000,1838193.0000000
496,1,2,6281873.5000000,1838130.3750000
497,1,2,6281926.0000000,1838095.3750000
498,1,2,6281966.0000000,1838068.6250000
499,1,2,6281803.0000000,1838177.5000000
500,1,2,6281944.0000000,1838146.2500000
501,1,2,6281920.0000000,1838161.5000000
502,1,2,6281849.5000000,1838206.2500000
503,1,2,6281888.5000000,1838177.6250000
504,1,2,6281815.0000000,1838230.0000000
505,1,2,6281907.0000000,1838168.5000000
506,1,2,6282091.5000000,1837825.1250000
507,1,2,6281778.0000000,1838254.3750000
508,1,2,6282113.5000000,1837808.6250000
509,1,2,6282140.5000000,1837789.8750000
510,1,2,6282162.0000000,1837771.5000000
